state_code,lg_code,ward_code,pu_code,code,name,ward,lga,latitude,longitude,cvr_pu_id
12,01,04,002,12/01/04/002,"IBILLO, IBILLO P/S.",IBILLO/ EKPESA/ EKOR/ IKIRAN-ILE/ OKE,AKOKO EDO,7.43607924,6.07148988,34101
12,01,04,003,12/01/04/003,"IBILLO, BY CHIEF OMOLOJU'S HS",IBILLO/ EKPESA/ EKOR/ IKIRAN-ILE/ OKE,AKOKO EDO,7.43642284,6.07872267,34102
12,01,04,004,12/01/04/004,"IBILLO,  BY CHIEF GIWA'S HS.",IBILLO/ EKPESA/ EKOR/ IKIRAN-ILE/ OKE,AKOKO EDO,7.43427739,6.07507861,34103
12,01,04,005,12/01/04/005,"IBILLO,  MKT. SQUARE",IBILLO/ EKPESA/ EKOR/ IKIRAN-ILE/ OKE,AKOKO EDO,7.43660423,6.07710697,34104
12,01,04,006,12/01/04/006,"IBILLO,  BY OBA'S HS.",IBILLO/ EKPESA/ EKOR/ IKIRAN-ILE/ OKE,AKOKO EDO,7.43772020,6.06835620,34105
12,01,04,007,12/01/04/007,"IBILLO,  AZANE P/S.",IBILLO/ EKPESA/ EKOR/ IKIRAN-ILE/ OKE,AKOKO EDO,7.44161658,6.07132144,34106
12,01,04,008,12/01/04/008,"IBILL, O EFOLO P/S.",IBILLO/ EKPESA/ EKOR/ IKIRAN-ILE/ OKE,AKOKO EDO,7.44483054,6.07173415,34107
12,01,04,009,12/01/04/009,"EKPESA, OYENGBA P/S.",IBILLO/ EKPESA/ EKOR/ IKIRAN-ILE/ OKE,AKOKO EDO,7.42382523,6.07350171,34108
12,01,04,010,12/01/04/010,"EKOR, EKOR PRIMARY SCHOOL",IBILLO/ EKPESA/ EKOR/ IKIRAN-ILE/ OKE,AKOKO EDO,7.45220156,6.05087353,34109
12,01,04,011,12/01/04/011,"IKIRAN ILE, BY ALAFIN'S HS.",IBILLO/ EKPESA/ EKOR/ IKIRAN-ILE/ OKE,AKOKO EDO,7.42073083,6.01941510,34110
12,01,04,012,12/01/04/012,"IKIRAN,  BY SUBERU HS",IBILLO/ EKPESA/ EKOR/ IKIRAN-ILE/ OKE,AKOKO EDO,7.41363008,6.01730353,34111
12,01,04,013,12/01/04/013,"IKIRAN,  BY OSOGBO HS",IBILLO/ EKPESA/ EKOR/ IKIRAN-ILE/ OKE,AKOKO EDO,7.41642924,6.01812701,34112
12,01,05,001,12/01/05/001,"DANGBALA, DANGBALA P.S. I",MAKEKE/ OJAH/ DANGBALA/ OJIRAMI/ ANYAWOZA,AKOKO EDO,7.33966508,6.22344834,34114
12,01,05,002,12/01/05/002,"DANGBALA, DANGBALA P.S. II",MAKEKE/ OJAH/ DANGBALA/ OJIRAMI/ ANYAWOZA,AKOKO EDO,7.33907117,6.22327702,34115
12,01,05,003,12/01/05/003,"DANGBALA, OLD DANGBALA COURT HALL",MAKEKE/ OJAH/ DANGBALA/ OJIRAMI/ ANYAWOZA,AKOKO EDO,7.33846328,6.22204531,34116
