state,lg,ward,state_code,lg_code,ward_code,pu_code,code,location,ward_des,lg_des
EDO,01,03,12,01,03,003,12/01/03/003,"LAMPESE,  AFORO QRTS.",Imoga/ Lampese/ Bekuma/ Ekpe,Akoko Edo
EDO,01,03,12,01,03,004,12/01/03/004,"LAMPESE,  AFORO QTRS",Imoga/ Lampese/ Bekuma/ Ekpe,Akoko Edo
EDO,01,03,12,01,03,005,12/01/03/005,"LAMPESE, UKE P/S.",Imoga/ Lampese/ Bekuma/ Ekpe,Akoko Edo
EDO,01,03,12,01,03,006,12/01/03/006,"LAMPESE, BY OLORIEGBE COMP.",Imoga/ Lampese/ Bekuma/ Ekpe,Akoko Edo
EDO,01,03,12,01,03,007,12/01/03/007,"ELEKPI, BY CHIEF OKONDON",Imoga/ Lampese/ Bekuma/ Ekpe,Akoko Edo
EDO,01,03,12,01,03,008,12/01/03/008,"IMOGA, UMAR P/S",Imoga/ Lampese/ Bekuma/ Ekpe,Akoko Edo
EDO,01,03,12,01,03,009,12/01/03/009,"IMOGA,  LEPPER SETTLEMENT",Imoga/ Lampese/ Bekuma/ Ekpe,Akoko Edo
EDO,01,03,12,01,03,010,12/01/03/010,"IMOGA, IMOGA PRIMARY SCHOOL",Imoga/ Lampese/ Bekuma/ Ekpe,Akoko Edo
EDO,01,03,12,01,03,011,12/01/03/011,"IMOGA,  BY CHIEF OBANILU'S COMP.",Imoga/ Lampese/ Bekuma/ Ekpe,Akoko Edo
EDO,01,03,12,01,03,012,12/01/03/012,"EKPE, KEKPUME P.S",Imoga/ Lampese/ Bekuma/ Ekpe,Akoko Edo
EDO,01,03,12,01,03,013,12/01/03/013,"EKPE, BY DISPENSARY",Imoga/ Lampese/ Bekuma/ Ekpe,Akoko Edo
EDO,01,03,12,01,03,014,12/01/03/014,"EKPE,  AHOR P/S.",Imoga/ Lampese/ Bekuma/ Ekpe,Akoko Edo
EDO,01,03,12,01,03,015,12/01/03/015,"LAMPESE IKPAKUMU, HALLELUJAH OPEN SPACE",Imoga/ Lampese/ Bekuma/ Ekpe,Akoko Edo
EDO,01,03,12,01,03,016,12/01/03/016,"LAMPESE, CHIEF UDUZELI'S OPEN SPACE",Imoga/ Lampese/ Bekuma/ Ekpe,Akoko Edo
EDO,01,03,12,01,03,017,12/01/03/017,"LAMPESE, IZAZI QUARTERS OPEN SPACE",Imoga/ Lampese/ Bekuma/ Ekpe,Akoko Edo
EDO,01,03,12,01,03,018,12/01/03/018,"IMOGA, OKUTU PRIMARY SCHOOL",Imoga/ Lampese/ Bekuma/ Ekpe,Akoko Edo
EDO,01,03,12,01,03,019,12/01/03/019,"OPEN SPACE, IMOGA OLD MARKET",Imoga/ Lampese/ Bekuma/ Ekpe,Akoko Edo
EDO,01,03,12,01,03,020,12/01/03/020,"OPEN SPACE BY IMOGA, LAWANSON.",Imoga/ Lampese/ Bekuma/ Ekpe,Akoko Edo
EDO,01,03,12,01,03,000,12/01/03/000,12/01/03/000,Imoga/ Lampese/ Bekuma/ Ekpe,Akoko Edo
EDO,01,04,12,01,04,001,12/01/04/001,"IBILLO, OJAH P/S.",Ibillo/ Ekpesa/ Ekor/ Ikiran-ile/ Oke,Akoko Edo
EDO,01,04,12,01,04,002,12/01/04/002,"IBILLO, IBILLO P/S.",Ibillo/ Ekpesa/ Ekor/ Ikiran-ile/ Oke,Akoko Edo
EDO,01,04,12,01,04,003,12/01/04/003,"IBILLO, BY CHIEF OMOLOJU'S HS",Ibillo/ Ekpesa/ Ekor/ Ikiran-ile/ Oke,Akoko Edo
EDO,01,04,12,01,04,004,12/01/04/004,"IBILLO,  BY CHIEF GIWA'S HS.",Ibillo/ Ekpesa/ Ekor/ Ikiran-ile/ Oke,Akoko Edo
EDO,01,04,12,01,04,005,12/01/04/005,"IBILLO,  MKT. SQUARE",Ibillo/ Ekpesa/ Ekor/ Ikiran-ile/ Oke,Akoko Edo
EDO,01,04,12,01,04,006,12/01/04/006,"IBILLO,  BY OBA'S HS.",Ibillo/ Ekpesa/ Ekor/ Ikiran-ile/ Oke,Akoko Edo
EDO,01,04,12,01,04,007,12/01/04/007,"IBILLO,  AZANE P/S.",Ibillo/ Ekpesa/ Ekor/ Ikiran-ile/ Oke,Akoko Edo
EDO,01,04,12,01,04,008,12/01/04/008,"IBILL, O EFOLO P/S.",Ibillo/ Ekpesa/ Ekor/ Ikiran-ile/ Oke,Akoko Edo
EDO,01,04,12,01,04,009,12/01/04/009,"EKPESA, OYENGBA P/S.",Ibillo/ Ekpesa/ Ekor/ Ikiran-ile/ Oke,Akoko Edo
EDO,01,04,12,01,04,010,12/01/04/010,"EKOR, EKOR PRIMARY SCHOOL",Ibillo/ Ekpesa/ Ekor/ Ikiran-ile/ Oke,Akoko Edo
EDO,01,04,12,01,04,011,12/01/04/011,"IKIRAN ILE, BY ALAFIN'S HS.",Ibillo/ Ekpesa/ Ekor/ Ikiran-ile/ Oke,Akoko Edo
EDO,01,04,12,01,04,012,12/01/04/012,"IKIRAN,  BY SUBERU HS",Ibillo/ Ekpesa/ Ekor/ Ikiran-ile/ Oke,Akoko Edo
EDO,01,04,12,01,04,013,12/01/04/013,"IKIRAN,  BY OSOGBO HS",Ibillo/ Ekpesa/ Ekor/ Ikiran-ile/ Oke,Akoko Edo
EDO,01,04,12,01,04,014,12/01/04/014,"IKIRAN OKE, MKT. SQUARE",Ibillo/ Ekpesa/ Ekor/ Ikiran-ile/ Oke,Akoko Edo
EDO,01,04,12,01,04,015,12/01/04/015,OPEN SPACE FRONT OF ERIKITOLA'S COMPOUND,Ibillo/ Ekpesa/ Ekor/ Ikiran-ile/ Oke,Akoko Edo
EDO,01,04,12,01,04,016,12/01/04/016,OPEN SPACE FRONT OF OWOLABI'S HOUSE,Ibillo/ Ekpesa/ Ekor/ Ikiran-ile/ Oke,Akoko Edo
EDO,01,04,12,01,04,017,12/01/04/017,"OPEN SPACE -IBILLO, BOLADE'S COMPOUND UFOEGUA QTRS",Ibillo/ Ekpesa/ Ekor/ Ikiran-ile/ Oke,Akoko Edo
EDO,01,04,12,01,04,018,12/01/04/018,OPEN SPACE - FRONT OF OMOTORIOGUN COMPOUND,Ibillo/ Ekpesa/ Ekor/ Ikiran-ile/ Oke,Akoko Edo
EDO,01,04,12,01,04,019,12/01/04/019,"IBILLO, OPEN SPACE - FRONT OF NASCO COMPOUND",Ibillo/ Ekpesa/ Ekor/ Ikiran-ile/ Oke,Akoko Edo
